,posx,a,b,c
0,-97.1,20102,6743,616
1,-96.994,20102,6743,616
2,-93.652,20497,6752,625
3,-93.541,20497,6752,625
4,-90.174,20626,6743,708
5,-90.108,20626,6743,708
6,-90.002,20203,6982,717
7,-90.002,21546,6863,736
8,-87.463,21546,6863,736
9,-87.302,20000,6596,745
10,-83.88,21399,6817,782
11,-83.758,21399,6817,782
12,-80.382,21647,6412,791
13,-80.306,21647,6412,791
14,-79.998,21767,6421,855
15,-79.998,21022,6504,818
16,-77.035,20930,6302,809
17,-76.944,20930,6302,809
18,-73.547,20930,6302,809
19,-73.416,21123,6265,855
20,-70.14,20681,5998,874
21,-70.079,20681,5998,874
22,-69.998,20681,5998,874
23,-69.998,20286,5934,910
24,-69.998,20884,5924,901
25,-67.429,19476,5970,855
26,-67.343,19476,5970,855
27,-63.891,19402,5437,920
28,-63.82,19402,5437,920
29,-60.337,19007,5437,901
30,-60.297,19007,5437,901
31,-59.999,17636,5391,901
32,-59.999,18768,5308,892
33,-57.394,18666,5317,855
34,-53.911,17158,4977,910
35,-53.871,17158,4977,910
36,-50.499,16854,5014,929
37,-50.348,16854,5014,929
38,-49.999,16081,4830,910
39,-49.999,16688,4627,892
40,-47.425,15778,4682,892
41,-47.314,15778,4682,892
42,-43.937,14876,4379,901
43,-43.841,14876,4379,901
44,-40.429,14140,4259,855
45,-40.323,14140,4259,855
46,-40.0,13192,4094,846
47,-40.0,13294,4002,846
48,-37.163,12926,4002,818
49,-36.986,12926,4002,818
50,-33.635,12180,3735,763
51,-33.523,12180,3735,763
52,-30.182,12180,3735,763
53,-30.101,11279,3606,763
54,-30.0,10994,3385,717
55,-30.0,10883,3422,699
56,-27.38,10607,3404,699
57,-27.295,10607,3404,699
58,-23.958,10607,3404,699
59,-23.776,9494,3054,653
60,-20.374,8611,2934,588
61,-20.309,8611,2934,588
62,-20.001,8611,2934,588
63,-20.001,8142,2649,607
64,-20.001,8326,2796,634
65,-17.381,8068,2401,625
66,-17.346,8068,2401,625
67,-13.847,7130,2428,754
