,posz,z
0,230.0,306
1,230.0,306
2,220.0,352
3,220.0,355
4,210.0,406
5,210.0,405
6,200.0,474
7,200.0,473
8,190.0,559
9,190.0,557
10,180.0,649
11,180.0,646
12,170.0,757
13,170.0,783
14,160.0,935
15,160.0,935
16,150.0,1133
17,150.0,1128
18,140.0,1376
19,140.0,1373
20,130.0,1691
21,130.0,1686
22,120.0,1910
23,120.0,1909
24,110.0,2493
25,110.0,2502
26,100.0,3195
27,100.0,3186
28,100.0,3177
29,90.0,4140
30,90.0,4122
31,80.0,5418
32,80.0,5409
33,80.0,5445
34,70.0,7218
35,70.0,7182
36,60.0,9675
37,60.0,9711
38,50.0,13437
39,50.0,13527
40,40.0,24966
41,40.0,24939
42,30.0,28170
43,30.0,28152
44,20.0,32238
45,20.0,32274
46,10.0,34740
47,10.0,34740
48,10.0,34749
49,0.0,35595
50,0.0,35595
