,posx,posy,posz,a,b,c,z
794475,-0.002,300.0,50.0,441,6007,570,19
794476,-0.002,300.0,50.0,423,5961,561,18
794477,-0.002,300.0,50.0,441,5768,533,19
795362,-0.002,-289.999,50.0,5306,372,780,20
795363,-0.002,-289.999,50.0,5330,364,804,19
796137,-0.002,-279.999,50.0,5713,349,680,21
796138,-0.002,-279.999,50.0,5731,368,644,21
796919,-0.002,-270.0,50.0,6495,349,671,22
796920,-0.002,-270.0,50.0,6614,368,662,24
797679,-0.002,-260.0,50.0,7525,368,699,27
797680,-0.002,-260.0,50.0,7498,322,708,25
797681,-0.002,-260.0,50.0,7258,340,699,27
798436,-0.002,-250.0,50.0,8740,340,800,31
798437,-0.002,-250.0,50.0,8574,340,726,29
799205,-0.002,-240.001,50.0,10147,358,828,36
799206,-0.002,-240.001,50.0,10055,377,745,37
799975,-0.002,-230.001,50.0,11665,377,846,44
799976,-0.002,-230.001,50.0,11656,358,864,44
800739,-0.002,-220.002,50.0,13846,386,855,56
800740,-0.002,-220.002,50.0,13901,377,892,56
800741,-0.002,-220.002,50.0,13910,386,846,55
801511,-0.002,-210.002,50.0,16412,377,929,70
801512,-0.002,-210.002,50.0,16173,368,920,71
802289,-0.002,-199.998,50.0,19053,395,1012,101
802290,-0.002,-199.998,50.0,17875,368,1039,98
802291,-0.002,-199.998,50.0,18924,377,1012,98
803050,-0.002,-189.998,50.0,21114,423,1067,146
803051,-0.002,-189.998,50.0,21436,395,1048,145
803818,-0.002,-179.999,50.0,23036,414,1122,214
803819,-0.002,-179.999,50.0,23073,386,1122,214
804580,-0.002,-169.999,50.0,24177,404,1269,315
804581,-0.002,-169.999,50.0,24150,386,1205,315
805348,-0.002,-159.999,50.0,24950,404,1297,463
805349,-0.002,-159.999,50.0,25024,395,1389,463
806117,-0.002,-150.0,50.0,25944,423,1453,647
806118,-0.002,-150.0,50.0,25806,404,1444,651
806883,-0.002,-140.0,50.0,26413,423,1545,869
806884,-0.002,-140.0,50.0,26385,395,1508,837
807646,-0.002,-130.001,50.0,26486,404,1748,1093
807647,-0.002,-130.001,50.0,26753,395,1646,1104
808412,-0.002,-120.001,50.0,26606,414,1932,1285
808413,-0.002,-120.001,50.0,26744,368,2171,1291
809181,-0.002,-110.002,50.0,26431,395,2557,1354
809182,-0.002,-110.002,50.0,26358,404,2585,1352
809948,-0.002,-100.002,50.0,26063,432,2833,1218
809949,-0.002,-100.002,50.0,26238,432,2944,1202
810719,-0.002,-89.998,50.0,25787,460,3118,770
810720,-0.002,-89.998,50.0,25557,460,3183,773
811479,-0.002,-79.998,50.0,24573,515,3275,128
811480,-0.002,-79.998,50.0,24748,524,3358,126
812254,-0.002,-69.998,50.0,23478,570,3459,1293
812255,-0.002,-69.998,50.0,23386,588,3523,1304
813024,-0.002,-59.999,50.0,21666,708,3799,2745
813025,-0.002,-59.999,50.0,21693,690,3799,2772
813776,-0.002,-49.999,50.0,19255,828,4103,4734
813777,-0.002,-49.999,50.0,19338,800,4057,4725
814527,-0.002,-40.0,50.0,16063,1030,4268,6831
814528,-0.002,-40.0,50.0,16054,993,4397,6831
815284,-0.002,-30.0,50.0,12438,1288,4508,8928
815285,-0.002,-30.0,50.0,13110,1297,4471,9009
816050,-0.002,-20.001,50.0,9798,1812,4360,10629
816051,-0.002,-20.001,50.0,9853,1720,4719,10674
816052,-0.002,-20.001,50.0,10202,1665,4738,10521
816817,-0.002,-10.001,50.0,7682,2677,4903,12456
816818,-0.002,-10.001,50.0,8022,2714,4765,12339
817583,-0.002,-0.002,50.0,6081,3569,4968,13437
817584,-0.002,-0.002,50.0,6099,3578,4922,13527
818347,-0.002,9.998,50.0,4756,4765,4931,13599
818348,-0.002,9.998,50.0,4747,4719,4912,13671
819117,-0.002,20.002,50.0,3680,5952,4839,12834
819118,-0.002,20.002,50.0,3661,6007,4866,12861
819890,-0.002,30.002,50.0,2888,7967,4756,11565
819891,-0.002,30.002,50.0,2842,7755,4710,11493
820655,-0.002,40.002,50.0,2106,10028,4526,9837
820656,-0.002,40.002,50.0,2180,10156,4636,9765
821422,-0.002,50.001,50.0,1242,12079,4296,7704
821423,-0.002,50.001,50.0,1297,12640,4314,7704
822180,-0.002,60.001,50.0,975,15520,4084,5580
822181,-0.002,60.001,50.0,993,15603,4167,5580
822945,-0.002,70.0,50.0,837,18574,3891,3555
822946,-0.002,70.0,50.0,809,18289,3891,3582
823692,-0.002,80.0,50.0,662,20608,3634,1852
823693,-0.002,80.0,50.0,699,20700,3643,1855
824453,-0.002,89.999,50.0,598,22613,3192,529
824454,-0.002,89.999,50.0,579,22521,3394,531
825225,-0.002,99.999,50.0,542,23791,3155,532
825226,-0.002,99.999,50.0,496,23993,3137,536
825986,-0.002,109.998,50.0,524,25465,2796,1149
825987,-0.002,109.998,50.0,478,25088,2760,1119
825988,-0.002,109.998,50.0,524,24692,2944,1147
826754,-0.002,119.998,50.0,469,26026,2658,1426
826755,-0.002,119.998,50.0,441,25971,2732,1416
827516,-0.002,130.003,50.0,414,26468,2318,1430
827517,-0.002,130.003,50.0,414,26422,2226,1426
828271,-0.002,140.002,50.0,487,26827,1628,1274
828272,-0.002,140.002,50.0,469,26312,1996,1284
829040,-0.002,150.002,50.0,460,26726,1490,1052
829041,-0.002,150.002,50.0,460,26974,1545,1037
829808,-0.002,160.001,50.0,441,26385,1407,795
829809,-0.002,160.001,50.0,469,26606,1380,785
830570,-0.002,170.001,50.0,450,26339,1260,581
830571,-0.002,170.001,50.0,469,26358,1269,571
831337,-0.002,180.0,50.0,496,26266,1168,402
831338,-0.002,180.0,50.0,496,26210,1168,402
832102,-0.002,190.0,50.0,487,25244,1094,274
832103,-0.002,190.0,50.0,469,25125,1150,270
832479,-0.002,194.916,50.0,469,24407,1048,219
832866,-0.002,199.999,50.0,432,24260,1012,182
832867,-0.002,199.999,50.0,469,24297,1048,182
832868,-0.002,199.999,50.0,450,24104,1039,178
833628,-0.002,209.999,50.0,432,21951,938,122
833629,-0.002,209.999,50.0,469,22622,956,122
834384,-0.002,219.998,50.0,441,19964,864,84
834385,-0.002,219.998,50.0,414,20304,855,85
835150,-0.002,229.998,50.0,450,17516,846,61
835151,-0.002,229.998,50.0,450,17746,809,62
835901,-0.002,239.998,50.0,450,14848,754,44
835902,-0.002,239.998,50.0,469,14738,800,45
836663,-0.002,250.002,50.0,450,11417,717,37
836664,-0.002,250.002,50.0,460,12650,736,37
837426,-0.002,260.002,50.0,432,10662,690,31
837427,-0.002,260.002,50.0,432,10506,671,30
838191,-0.002,270.001,50.0,423,8749,634,27
838192,-0.002,270.001,50.0,441,8473,653,26
838962,-0.002,280.001,50.0,460,7912,588,23
838963,-0.002,280.001,50.0,423,7838,598,23
838964,-0.002,280.001,50.0,423,7801,662,24
839723,-0.002,290.0,50.0,404,6762,552,20
839724,-0.002,290.0,50.0,414,6660,533,21
