,posz,z
0,230.0,227
1,230.0,228
2,220.0,257
3,220.0,256
4,210.0,292
5,210.0,290
6,210.0,290
7,200.0,331
8,200.0,327
9,190.0,375
10,190.0,364
11,180.0,429
12,180.0,422
13,170.0,488
14,170.0,483
15,160.0,553
16,160.0,560
17,150.0,646
18,150.0,650
19,140.0,741
20,140.0,749
21,130.0,865
22,130.0,872
23,120.0,1006
24,120.0,1021
25,110.0,1180
26,110.0,1191
27,100.0,1296
28,100.0,1305
29,90.0,1539
30,90.0,1521
31,90.0,1512
32,80.0,1791
33,80.0,1782
34,70.0,2178
35,70.0,2088
36,70.0,2097
37,60.0,2421
38,60.0,2448
39,50.0,2781
40,50.0,2772
41,40.0,3114
42,40.0,3105
43,30.0,3276
44,30.0,3285
45,20.0,3564
46,20.0,3492
47,20.0,3384
48,10.0,2817
49,10.0,2871
